OBJECTID,School,CountyReport,Number_of_Total_Cases,ReportDate,
105,The Heights School,Montgomery,4,11/18/20,15:00:00+00
107,Broadfording Christian Academy,Washington,4,11/18/20,15:00:00+00
147,Delmar Elementary School,Wicomico,4,11/25/20,15:00:00+00
158,Roland Park Country School,Baltimore City,4,11/25/20,15:00:00+00
163,St. Joseph's School,Baltimore,4,11/25/20,15:00:00+00
167,The Heights School,Montgomery,4,11/25/20,15:00:00+00
172,Bais Yaakov Eva Winer High School,Baltimore,4,12/2/20,15:00:00+00
186,St. Joseph's School,Baltimore,4,12/2/20,15:00:00+00
190,St. Paul's School,Baltimore,4,12/2/20,15:00:00+00
236,St. Paul's School,Baltimore,4,12/9/20,15:00:00+00
279,St. Paul's School,Baltimore,4,12/16/20,15:00:00+00
292,Severn School,Anne Arundel,4,12/23/20,15:00:00+00
295,St. Paul's School,Baltimore,4,12/23/20,15:00:00+00
299,Windsor Knolls Middle School,Frederick,4,12/23/20,15:00:00+00
310,Severn School,Anne Arundel,4,12/30/20,15:00:00+00
315,Windsor Knolls Middle School,Frederick,4,12/30/20,15:00:00+00
392,Sunderland Elementary School,Calvert,4,1/20/21,15:00:00+00
395,The Heights School,Montgomery,4,1/20/21,15:00:00+00
439,Georgetown Preparatory School,Montgomery,4,1/27/21,15:00:00+00
447,School of the Incarnation,Anne Arundel,4,1/27/21,15:00:00+00
451,The Heights School,Montgomery,4,1/27/21,15:00:00+00
454,William Winchester Elementary,Carroll,4,1/27/21,15:00:00+00
517,McDonogh School,Baltimore,4,2/3/21,15:00:00+00
521,Salisbury Christian School,Wicomico,4,2/3/21,15:00:00+00
530,The Heights School,Montgomery,4,2/3/21,15:00:00+00
566,McDonogh School,Baltimore,4,2/10/21,15:00:00+00
598,McDonogh School,Baltimore,4,2/17/21,15:00:00+00
602,St. Paul's School,Baltimore,4,2/17/21,15:00:00+00
605,The Country School,Talbot,4,2/17/21,15:00:00+00
634,South Carroll High School,Carroll,4,2/24/21,15:00:00+00
637,St. Paul's School ,Baltimore,4,2/24/21,15:00:00+00
664,Mount Saint Joseph High School,Baltimore City,4,3/3/21,15:00:00+00
668,South Carroll High,Carroll,4,3/3/21,15:00:00+00
694,Boonsboro High School,Washington,4,3/10/21,15:00:00+00
700,Mt. Aetna Adventist School,Washington,4,3/10/21,15:00:00+00
